NO,BATCH#,PRODUCT,BRANCH,CONTRACT,REG#,TYPECODE,TYPEDOC,USER
1,P026463080000001,65,0264,0015616,1กค 2638,03,PPI,SS404665
2,P026463080000001,65,0264,0015625,1กต 3983,03,PPI,SS404665
